ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	type	parent class	referenced category labels	unit label	specified value	referenced quality	sorting context	sorted object	sort index	associated axioms
ID	AL rdfs:label@en	AL obo:IAO_0000111@en	AI obo:IAO_0000114	AL obo:IAO_0000118@en SPLIT=|	AL obo:IAO_0000115@en SPLIT=|	A obo:IAO_0000119 SPLIT=|	AL obo:IAO_0000112@en SPLIT=|	A obo:IAO_0000117 SPLIT=,	AL obo:IAO_0000116@en SPLIT=|	AL obo:IAO_0000232@en SPLIT=|	A obo:IAO_0000234	A obo:IAO_0000233	CLASS_TYPE	TYPE	C %	SC %	SC %	SC %	SC %	SC 'is about' exactly 1 %	I 'is about'	I 'sort as'	C %
fordisc:AuricularDemifaceTopographyValueSpecification	Auricular demiface topography value specification				A value specification specifying category labels for the description of the auricular face of the sacroiliac joint.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 8/9.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0001930	('has category label' exactly 1 ({fordisc:UndulatingDemifaceTopography,fordisc:MedianElevationOnDemiface,fordisc:FlatToIrregularDemifaceTopography}))							
fordisc:AuricularDemifaceTopographyLabelSorting	Sorting directive for an auricular demiface topography label				A sorting specification that determines the order of category labels in an auricular demiface topography value specification.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 8/9.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		rdfbones:LabelSortingSpecification					fordisc:AuricularDemifaceTopographyValueSpecification			
fordisc:AuricularDemifaceTopographyLabelSorting01	1. Undulating							"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularDemifaceTopographyLabelSorting							fordisc:UndulatingDemifaceTopography	#01	
fordisc:AuricularDemifaceTopographyLabelSorting02	2. Median elevation							"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularDemifaceTopographyLabelSorting							fordisc:MedianElevationOnDemiface	#02	
fordisc:AuricularDemifaceTopographyLabelSorting03	3. Flat to irregular							"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularDemifaceTopographyLabelSorting							fordisc:FlatToIrregularDemifaceTopography	#03	
fordisc:AuricularSurfaceCharacteristicsValueSpecification	Auricular surface characteristics value specification				A value specification specifying category labels for the description of characteristics of the auricular face of the sacroiliac joint.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 9-11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0001930	('has category label' exactly 1 ({fordisc:OverTwoThirdsOfAuricularSurfaceCoveredByBillows,fordisc:OneToTwoThirdsOfAuricularSurfaceCoveredByBillows,fordisc:UnderOneThirdOfAuricularSurfaceCoveredByBillows,fordisc:FlatAuricularSurface,fordisc:BumpsOnAuricularSurface}))							
fordisc:AuricularSurfaceCharacteristicsLabelSorting	Sorting directive for a auricular surface characteristics label				A sorting specification that determines the order of category labels in an auricular surface characteristics value specification.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 9-11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		rdfbones:LabelSortingSpecification					fordisc:AuricularSurfaceCharacteristicsValueSpecification			
fordisc:AuricularSurfaceCharacteristicsLabelSorting01	1. >2/3 covered by billows							"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularSurfaceCharacteristicsLabelSorting							fordisc:OverTwoThirdsOfAuricularSurfaceCoveredByBillows	#1	
fordisc:AuricularSurfaceCharacteristicsLabelSorting02	2. 1/3-2/3 covered by billows							"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularSurfaceCharacteristicsLabelSorting							fordisc:OneToTwoThirdsOfAuricularSurfaceCoveredByBillows	#2	
